fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm,width_mm,average_diameter
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,3,82.01,84,83.005
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,1,75.23,73.73,74.48
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,2,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,3,81.39,76.96,79.175
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,1,64.72,66.58,65.65
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,2,60.26,58.04,59.15
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,3,49.54,49.46,49.5
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,1,39.33,32.97,36.15
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,2,68.78,76.94,72.86
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1,3,60.33,51.85,56.09
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,1,42.61,40.76,41.685
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,2,35.5,35.16,35.33
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,10,3,35.83,35.76,35.795
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,1,32.42,32.37,32.395
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,2,38.5,40.06,39.28
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,10,3,44.08,47.54,45.81
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,1,23.25,23.35,23.3
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,2,23.46,23.27,23.365
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,100,3,22.12,24.52,23.32
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,1,43.89,44.38,44.135
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,2,42.17,44.68,43.425
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,100,3,41.82,40.19,41.005
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,1,23.88,23.22,23.55
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,2,20.67,19.07,19.87
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,500,3,21.48,20.24,20.86
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,1,25.71,25.21,25.46
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,2,25.31,21.56,23.435
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,500,3,47.89,44.57,46.23
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,1,21.28,20.91,21.095
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,2,16.1,13.66,14.88
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1000,3,6.82,7.95,7.385
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,1,20.27,17.85,19.06
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,2,36.35,27.01,31.68
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,1000,3,17.79,13.51,15.65
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,1,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,2,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0,3,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0,1,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0,2,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0,3,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,1,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,2,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.01,3,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.01,1,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.01,2,84,84,84
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.01,3,84,84,84
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,1,83.74,81.61,82.675
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,2,80,81.05,80.525
Fontelis,Penthiopyrad,GD-16-1,SB1,7,0.1,3,80.81,82.31,81.56
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.1,1,78.65,78.48,78.565
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.1,2,78.12,78.42,78.27
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,0.1,3,81.5,81.63,81.565
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,1,51.6,44.83,48.215
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,2,40.82,38.9,39.86
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1,3,48.46,45.5,46.98
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1,1,44.28,43.38,43.83
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1,2,43.63,42.76,43.195
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1,3,40.15,40.29,40.22
Fontelis,Penthiopyrad,GD-16-1,SB1,7,10,1,11.92,11.63,11.775
Fontelis,Penthiopyrad,GD-16-1,SB1,7,10,2,11.64,10.11,10.875
Fontelis,Penthiopyrad,GD-16-1,SB1,7,10,3,11,9.83,10.415
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,10,1,8.57,9.1,8.835
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,10,2,9.28,9.22,9.25
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,10,3,10.03,10.65,10.34
Fontelis,Penthiopyrad,GD-16-1,SB1,7,100,1,8.24,8.95,8.595
Fontelis,Penthiopyrad,GD-16-1,SB1,7,100,2,9.07,8.13,8.6
Fontelis,Penthiopyrad,GD-16-1,SB1,7,100,3,7.3,5.87,6.585
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,100,1,9.46,8.06,8.76
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,100,2,9.1,7.78,8.44
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,100,3,7.48,5.33,6.405
Fontelis,Penthiopyrad,GD-16-1,SB1,7,500,1,6.73,6.35,6.54
Fontelis,Penthiopyrad,GD-16-1,SB1,7,500,2,7.38,5.34,6.36
Fontelis,Penthiopyrad,GD-16-1,SB1,7,500,3,7.13,6.72,6.925
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,500,1,6.88,7.82,7.35
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,500,2,6.84,8.58,7.71
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,500,3,9.57,8.44,9.005
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1000,1,6.75,6.18,6.465
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1000,2,9.12,6.26,7.69
Fontelis,Penthiopyrad,GD-16-1,SB1,7,1000,3,5.35,5.85,5.6
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1000,1,6.46,5.82,6.14
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1000,2,7.5,5.31,6.405
Fontelis,Penthiopyrad,LrwHC-1,SB15,7,1000,3,5.4,5.95,5.675
Inspire,Difenoconazole ,GD-16-1,SB1,7,0,1,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0,2,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0,3,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0,1,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0,2,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0,3,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.01,1,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.01,2,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.01,3,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.01,1,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.01,2,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.01,3,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.1,1,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.1,2,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,0.1,3,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.1,1,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.1,2,84,84,84
Inspire,Difenoconazole ,LrwHC-1,SB15,7,0.1,3,84,84,84
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,1,27.14,17.92,22.53
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,2,21.54,23.87,22.705
Inspire,Difenoconazole ,GD-16-1,SB1,7,1,3,26.9,25.64,26.27
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,1,41.77,34.79,38.28
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,2,38.35,38.65,38.5
Inspire,Difenoconazole ,LrwHC-1,SB15,7,1,3,27.02,24.73,25.875
Inspire,Difenoconazole ,GD-16-1,SB1,7,10,1,5,5,5
Inspire,Difenoconazole ,GD-16-1,SB1,7,10,2,5.24,5,5.12
Inspire,Difenoconazole ,GD-16-1,SB1,7,10,3,5,5,5
Inspire,Difenoconazole ,LrwHC-1,SB15,7,10,1,12.57,13.25,12.91
Inspire,Difenoconazole ,LrwHC-1,SB15,7,10,2,5,5,5
Inspire,Difenoconazole ,LrwHC-1,SB15,7,10,3,5,5,5
Inspire,Difenoconazole ,GD-16-1,SB1,7,100,1,5,5,5
Inspire,Difenoconazole ,GD-16-1,SB1,7,100,2,5,5,5
